property_id,name,address,postal_code,lat,lon
IRADFCA,Imperial Regional Detention Facility,1572 GATEWAY CALEXICO CA 92231,92231,32.690811,-115.397861
IRWINGA,Irwin County Detention Center,132 COTTON DRIVE OCILLA GA 31772,31772,31.580997,-83.254628
IWAHOLD,Az Rem Op Coord Center (arocc),"130 N Robson, Mesa, AZ 85201 MESA AZ 85204",85204,33.418011,-111.836757
JAKHOLD,Jackson Ms Hold Room,202 METROPLEX BLVD PEARL MS 39208,39208,32.287959,-90.060426
JAXHOLD,Jacksonville Sub-office,4121 SOUTHPOINT BLVD JACKSONVILLE FL 32216,32216,30.255532,-81.590026
JEFFEID,Jefferson County Jail,219 EAST FREMONT AVE RIGBY ID 83442,83442,43.673358,-111.910892
JENADLA,Jena/lasalle Detention Facility,830 PINEHILL ROAD JENA LA 71342,71342,31.707274,-92.15106
JENATLA,Alexandria Staging Facility,1511 ARNOLD DRIVE ALEXANDRIA LA 71303,71303,31.31723,-92.5364
JHRWLTX,Jack Harwell Detention Center,3101 MARLIN HWY WACO TX 76705,76705,31.546298,-97.067347
KANDIMN,Kandiyohi County Jail,2201 23RD ST NE WILLMAR MN 56201,56201,45.146011,-95.013688
KANHOLD,Kansas City Holdroom,9747 NW CONANT AVENUE KANSAS CITY MO 64101,64101,39.268843,-94.675548
KARNETX,Karnes County Correctional Center,810 COMMERCE STREET KARNES CITY TX 78118,78118,28.883485,-97.911848
KCCDCTX,Karnes County Civil Detention Center,FM 1144 AT US HIGHWAY 181 KARNES CITY TX 78118,78118,28.884651,-97.915298
KENTOKY,Kenton County Jail,303 COURT STREET COVINGTON KY 41011,41011,39.088452,-84.508723
KINNETX,Kinney County Detention Center,109 NORTH STREET BRACKETTVILLE TX 78832,78832,29.311329,-100.418034
KODIAAK,Kodiak City Jail,217 LOWER MILL BAY ROAD KODIAK AK 99615,99615,57.790987,-152.40583
KRHUBFL,Krome/miami Hub,CONCOURSE E SATELLITMIAMI INTERNATIONAL MIAMI FL 33299,33299,25.75434,-80.48913
KRNRCTX,Karnes County Residential Center,FM 1144 AT US HIGHWAY 181 KARNES CITY TX 78118,78118,28.884651,-97.915298
KRO,Krome North Service Processing Center,18201 SOUTHWEST 12TH STREET MIAMI FL 33194,33194,25.762582,-80.193024
KROHOLD,Krome Hold Room,18201 SW 12TH ST MIAMI FL 33194,33194,25.758146,-80.350939
LACKAPA,Lackawanna County Jail,1371 NORTH WASHINGTON AVENUE SCRANTON PA 18509,18509,41.422344,-75.647865
LAFAYLA,Lafayette Parish Correctional Center,916 LAFAYETTE STREET LAFAYETTE LA 70502,70502,30.223843,-92.020873
LAPAZAZ,La Paz County Adult Detention Facility,1109 ARIZONA AVE. PARKER AZ 85344,85344,34.146226,-114.290189
LARCOWY,Laramie County Jail,1910 PIONEER AVENUE CHEYENNE WY 82001,82001,41.134753,-104.820095
LARELKY,Laurel County Sheriffs Jail,203 SOUTH BROAD ST. LONDON KY 40741,40741,37.127452,-84.083651
