property_id,name,address,postal_code,lat,lon
DOLPHIN,Dolphin Mall,"11401 Northwest 12th Street, Miami FL 33172",33172,25.7887034,-80.3811751
DOVER,Dover Mall,1365 North DuPont Highway Dover DE 19901,19901,39.1955008,-75.5417396
ELLENTON,Ellenton Premium Outlets,5461 Factory Shops Boulevard Ellenton FL 34222,34222,27.535356,-82.5075055
EMPIRE,Empire Mall,5000 Empire Mall Sioux Falls SD 57106,57106,43.5103141,-96.7757826
PENTAGONCITY,Fashion Center at Pentagon City,1100 South Hayes Street Arlington VA 22202,22202,38.8631596,-77.0612117
KEYSTONE,Fashion Mall at Keystone,8702 Keystone Crossing Indianapolis IN 46240,46240,39.9146201,-86.11124
FASHIONVAL,Fashion Valley,7007 Friars Road San Diego CA 92108,92108,32.7673742,-117.1660784
FIREWHEEL,Firewheel Town Center,245 Cedar Sage Drive Garland TX 75040,75040,32.9538891,-96.6125861
FLORDIAKEYS,Floida Keys Outlet Marketplace,250 East Palm Drive Florida City FL 33034,33034,25.4527615,-80.4734658
FLORIDAMALL,Florida Mall,8001 South Orange Blossom Trail Orlando FL 32809,32809,28.4467242,-81.3952717
FOLSOM,Folsom Outlet Marketplace,13000 Folsom Boulevard Folsom CA 95630,95630,38.6440912,-121.1866762
GAFFNEY,Gaffney Outlet Marketplace,1 Factory Shops Boulevard Gaffney SC 29341,29341,35.0819782,-81.7121115
GILROY,Gilroy Premium Outlets,681 Leavesley Road Gilroy CA 95020,95020,37.0256162,-121.5636695
GLOUCESTER,Gloucester Premium Outlets,100 Premium Outlets Drive Blackwood NJ 08012,8012,39.7830177,-75.0526272
GRANDPRAIRIE,Grand Prairie Premium Outlets,2950 West Interstate 20 Grand Prairie TX 75052,75052,32.6768066,-97.1324201
GRAPEVINE,Grapevine Mills,3000 Grapevine Mills Parkway Grapevine TX 76051,76051,32.9659075,-97.0427868
GREATLAKES,Great Lakes Crossing Outlets,4000 Baldwin Road Auburn Hills MI 46326,46326,42.7027241,-83.2994261
GREATMALL,Great Mall,447 Great Mall Drive Milpitas CA 95035,95035,37.4160601,-121.8991178
GREENWOOD,Greenwood Park Mall,1251 U.S. 31 North Greenwood IN 46142,46142,39.6330413,-86.1235722
GROVECITY,Grove City Premium Outlets,1911 Leesburg Grove City Road Grove City PA 16127,16127,41.1385211,-80.1569006
GULFPORT,Gulfport Premium Outlets,10000 Factory Shop Blvd Gulfport MS 39503,39503,30.4295083,-89.097543
GURNEEMILLS,Gurnee Mills,6170 West Grand Avenue Gurnee IL 60031,60031,42.3899294,-87.9593224
HAGERSTOWN,Hagerstown Premium Outlets,495 Premium Outlets Boulevard Hagerstown MD 21740,21740,39.6070289,-77.7346928
HAMILTON,Hamilton Town Center,13901 Town Center Boulevard Noblesville IN 46060,46060,39.993168,-85.9319718
HAYWOOD,Haywood Mall,700 Haywood Road Greenville SC 29607,29607,34.8490186,-82.3340927
HOUSTONGAL,Houston Galleria,5085 Westheimer Houston TX 77056,77056,29.739343,-95.4641184
HOUSTONPO,Houston Premium Outlets,29300 Hempstead Rd Cypress TX 77433,77433,29.9973454,-95.756493
INDIANAPO,Indiana Premium Outlets,11622 Northeast Executive Drive Edinburgh IN 46124,46124,39.3106514,-85.9602385
INTLMARKET,International Market Place,"2330 Kalakaua Avenue, Honolulu HI 96815",96815,21.2779875,-157.826706
INTLPLAZA,International Plaza,2223 North West Shore Boulevard Tampa FL 33607,33607,27.9654551,-82.5204017
JACKSONPO,Jackson Premium Outlets,537 Monmouth Road Jackson NJ 08527,8527,40.163349,-74.4176626
JERSEYSHOREPO,Jersey Shore Premium Outlets,1 Premium Outlets Boulevard Tinton Falls NJ 07753,7753,40.2257575,-74.0934381
JOHNSONCREEK,Johnson Creek Premium Outlets,575 West Linmar Lane Johnson Creek WI 53038,53038,43.0926997,-88.7631531
KATYMILLS,Katy Mills,5000 Katy Mills Circle Katy TX 77494,77494,29.7755219,-95.8093454
PRUSSIA,King of Prussia,160 North Gulph Road King of Prussia PA 19406,19406,40.0881528,-75.3944026
KITTERY,Kittery Premium Outlets,375 US Route 1 Kittery ME 03904,3904,43.1176683,-70.7280911
LAPLAZA,La Plaza Mall,2200 South 10th Street McAllen TX 78503,78503,26.1882845,-98.235457
LAKELINE,Lakeline Mall,11200 Lakeline Mall Drive Cedar Park TX 78613,78613,30.4700139,-97.8072249
LASAMERICAS,Las Americas Premium Outlets,4211 Camino de la Plaza San Diego CA 92173,92173,32.5438151,-117.0433296
VEGASNORTHPO,Las Vegas North Premium Outlets,875 South Grand Central Parkway Las Vegas NV 89106,89106,36.1632062,-115.1587666
VEGASSOUTHPO,Las Vegas South Premium Outlets,7400 Las Vegas Boulevard South Las Vegas NV 89123,89123,36.0546119,-115.1696012
LEEPO,Lee Premium Outlets,17 Premium Outlets Blvd Lee MA 01238,1238,42.2948021,-73.2333056
LEESBURG,Leesburg Premium Outlets,241 Fort Evans Road Northeast Leesburg VA 20176,20176,39.1073788,-77.5382065
LEHIGHVAL,Lehigh Valley Mall,250 Lehigh Valley Mall Whitehall PA 18052,18052,40.6313411,-75.4810719
LENOX,Lenox Square,3393 Peachtree Road Northeast Atlanta GA 30326,30326,33.8467259,-84.3624199
LIBERTYTREE,Liberty Tree Mall,100 Independence Way Danvers MA 01923,1923,42.5528479,-70.9401907
LIGHTHOUSEPL,Lighthouse Place Premium Outlets,601 Wabash Street Michigan City IN 46360,46360,41.7154482,-86.9050391
ROCKINGHAM,Mall at Rockingham Park,99 Rockingham Park Boulevard Salem NH 03079,3079,42.767915,-71.2313648
MOFGEORGIA,Mall of Georgia,3333 Buford Drive Buford GA 30519,30519,34.0662711,-83.9842746
MCCAINMALL,McCain Mall,3929 McCain Boulevard N. Little Rock AR 72116,72116,34.7913644,-92.2282605
MEADOWOOD,Meadowood Mall,5000 #1 Meadowood Mall Circle Reno NV 89502,89502,39.4715327,-119.7830083
MENLOPARK,Menlo Park Mall,100 Menlo Park Edison NJ 08837,8837,40.5478256,-74.3354653
MERRIMACKPO,Merrimack Premium Outlets,80 Premium Outlets Boulevard Merrimack NH 03054,3054,42.8264314,-71.4992254
MIAMIINTL,Miami International Mall,1455 Northwest 107th Avenue Miami FL 33172,33172,25.7872507,-80.364821
MIDLAND,Midland Park Mall,4511 North Midkiff Drive Midland TX 79705,79705,32.0301564,-102.1316508
MILLERHILL,Miller Hill Mall,1600 Miller Trunk Highway Duluth MN 55811,55811,46.8055121,-92.1586125
NAPAPO,Napa Premium Outlets,629 Factory Stores Drive Napa CA 94558,94558,38.2948329,-122.3027269
NEWPORTCTR,Newport Centre,30 Mall Drive West Jersey City NJ 07310,7310,40.7268406,-74.0379931
NORFOLKPO,Norfolk Premium Outlets,1600 Premium Outlets Boulevard Norfolk VA 23502,23502,36.8821267,-76.200199
NORTHBEND,North Bend Premium Outlets,461 South Fork Avenue Southwest North Bend WA 98045,98405,47.4919834,-121.794823
NORTHEASTMALL,North East Mall,1101 Melbourne Street Hurst TX 76053,76053,32.8307635,-97.1994333
NORTHGEORGIA,North Georgia Premium Outlets,800 Highway 400 South Dawsonville GA 30534,30534,34.3567585,-84.0485427
NORTHGATE,Northgate Station,401 Northeast Northgate Way Seattle WA 98125,98125,47.7080446,-122.3263688
NORTHSHORE,Northshore Mall,210 Andover Street Peabody MA 01960,1960,42.5414196,-70.9445901
OCEANCOUNTY,Ocean County Mall,1201 Hooper Avenue Toms River NJ 08753,8753,39.9798255,-74.1817029
ONTARIOMILLS,Ontario Mills,One Mills Circle Ontario CA 91764,91764,34.0708434,-117.5519097
OPRYMILLS,Opry Mills,433 Opry Mills Drive Nashville TN 37214,37214,36.2029647,-86.6922661
ORLANDSQR,Orland Square,288 Orland Square Orland Park IL 60462,60462,41.6183779,-87.8525967
ORLANDOINTLPO,Orlando International Premium Outlets,4951 International Drive Orlando FL 32819,32819,28.4755669,-81.4509587
ORLANDOOUTLETMKT,Orlando Outlet Marketplace,4951 International Drive Orlando FL 32819,32819,28.4755669,-81.4509587
ORLANDOVINELAND,Orlando Vineland Premium Outlets,8200 Vineland Avenue Orlando FL 32821,32821,28.3879501,-81.4904099
OSAGE,Osage Beach Outlet Marketplace,4540 Osage Beach Parkway Osage Beach MO 65065,65065,38.1456736,-92.6251495
